Juan Pablo,Rueda Angarita,1@gmail.com,3235251254,Santander,Bucaramanga,Secretaria de Gobierno,Desarrollador,RolCiudadano,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
Juan Pablo,Rueda Angarita,2@gmail.com,3235251254,Santander,Bucaramanga,Secretaria de Gobierno,Desarrollador,RolFuncionario,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
Juan Pablo,Rueda,4@gmail.com,3235251254,Santander,Bucaramanga,Secretaria de Gobierno,Desarrollador,RolSuperAdministrador,251b805927bb7eb3033de74abd8dbe74d26c4dc392f3279356a02f228cd7011c
Juan Pablo,Rueda Angarita,5@gmail.com,3235251254,Santander,Bucaramanga,Secretaria de Gobierno,Desarrollador,RolSecretario,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
dasdsad,dasdasdsa,dasdsa@gmai.com,3235251254,Santander,Bucaramanga,Secretaria General,Cosas,RolAdministrador,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
asdasd,dasdasdd,44@gmail.com,3235251254,Santander,Bucaramanga,Secretaria General,dasdasd,RolAdministrador,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
Juan Pablo,Rueda Angarita,juanpabloruedaangarita@gmail.com,3235251254,Santander,Bucaramanga,Secretaria de Ambiente,Desarrollador desparchado,RolSuperAdministrador,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
dasd,dasdsa,asd@gmail.com,3235251254,Atlantico,Soledad,Secretaria de Transito y Transporte,dasdsa,RolCiudadano,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
dasdas,saddas,dasd@gmail.com,3235251254,Santander,Giron,Secretaria de Transito y Transporte,32323,RolCiudadano,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
dasdsa,asddasda,dsadsadad@gmail.com,3235251254,Antioquia,Bello,Secretaria de Transito y Transporte,dasdsad,RolCiudadano,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
dasd,dsadas,dasdasdasdsa@gmail.com,3235251254,Antioquia,Envigado,Secretaria de Cultura y Turismo,dasdasdsa,RolCiudadano,549434f4b313dacfc046716e4216af1036aa08f1d8f91c416a9d4306443be450
